Designator,Mid X,Mid Y,Rotation,Layer
D64,106.045,-76.835,90.0,top
D65,115.57,-95.885,90.0,top
D66,89.37625,-114.935,90.0,top
D67,82.2325,-10.16,90.0,top
D68,101.2825,-38.735,90.0,top
D69,91.7575,-57.785,90.0,top
D7,327.50125,-114.935,90.0,top
D70,79.6925,-10.16,90.0,top
D71,69.69125,-38.735,90.0,top
D72,68.73875,-57.785,90.0,top
D73,66.83375,-76.835,90.0,top
D74,71.59625,-95.885,90.0,top
D75,65.56375,-114.935,90.0,top
D76,39.37,-10.16,90.0,top
D77,39.37,-38.735,90.0,top
D78,39.37,-57.785,90.0,top
D79,39.37,-114.935,90.0,top
D8,310.8325,-38.735,90.0,top
D80,20.32,-10.16,90.0,top
D81,20.32,-38.735,90.0,top
D82,20.32,-57.785,90.0,top
D83,36.35375,-95.885,90.0,top
D84,20.32,-114.935,90.0,top
D85,17.78,-10.16,90.0,top
D86,17.78,-38.735,90.0,top
D87,17.78,-57.785,90.0,top
D88,17.78,-114.935,90.0,top
D89,338.1375,-14.605,180.0,top
D9,301.3075,-57.785,90.0,top
D90,338.1375,-43.18,0.0,top
D91,333.375,-62.23,180.0,top
D92,330.99375,-81.28,0.0,top
D93,326.23125,-100.33,180.0,top
D94,335.75625,-119.38,0.0,top
D95,319.0875,-43.18,0.0,top
D96,309.5625,-62.23,180.0,top
D97,304.8,-81.28,0.0,top
D98,311.94375,-119.38,0.0,top
D99,300.0375,-14.605,180.0,top
FB1,136.68375,-10.95375,270.0,top
FB2,29.5275,-82.07375,270.0,top
FB3,132.3975,-19.05,180.0,top
FID1,344.4875,-23.8125,0.0,top
FID2,325.27875,-108.10875,0.0,top
FID3,38.1,-5.55625,0.0,top
FID4,38.1,-5.55625,180.0,bottom
FID5,344.4875,-23.8125,180.0,bottom
FID6,325.27875,-108.10875,180.0,bottom
H1,322.4625,-56.475,0.0,top
H10,166.6875,-22.05,0.0,top
H2,86.8625,-56.475,0.0,top
H3,219.075,-75.575,0.0,top
H4,157.1625,-113.775,0.0,top
H5,276.225,-113.775,0.0,top
H6,8.0,-94.775,0.0,top
H7,319.0875,-17.05,0.0,top
H8,228.6,-17.05,0.0,top
H9,59.53125,-17.05,0.0,top
J1,142.874998,-3.65125,0.0,bottom
J2,3.175,-20.79625,0.0,top
J3,2.8575,-75.2475,0.0,top
J4,59.53125,-10.15,180.0,top
MX1,338.1375,-9.525,180.0,bottom
MX10,311.94375,-114.3,180.0,bottom
MX11,300.0375,-9.525,180.0,bottom
MX12,300.0375,-38.1,180.0,bottom
MX13,290.5125,-57.15,180.0,bottom
MX14,285.75,-76.2,180.0,bottom
MX15,295.275,-95.25,180.0,bottom
MX16,288.13125,-114.3,180.0,bottom
MX17,280.9875,-9.525,180.0,bottom
